t,y
0.0,1.0
0.05,0.9
0.1,0.81
0.15000000000000002,0.729
0.2,0.6561
0.25,0.5904900000000001
0.30000000000000004,0.531441
0.35000000000000003,0.4782969000000001
0.4,0.4304672100000001
0.45,0.3874204890000001
0.5,0.3486784401000001
0.55,0.31381059609000006
0.6000000000000001,0.282429536481
0.65,0.2541865828329
0.7000000000000001,0.22876792454961
0.75,0.20589113209464904
0.8,0.1853020188851841
0.8500000000000001,0.16677181699666568
0.9,0.15009463529699912
0.9500000000000001,0.1350851717672992
1.0,0.1215766545905693
